date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:39:58	200672/200672	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2020%20Jul%202021%2023:43:42%20GMT	https://cooperativapetroecuador.com/portal/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.10.0	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons0b93.eot	(from https://cooperativapetroecuador.com/portal/)
10:39:58	59344/59344	---M-Z	200	added ('OK')	text/css	date:Tue,%2020%20Jul%202021%2023:43:42%20GMT	https://cooperativapetroecuador.com/portal/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=4.8.1	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.mina288.css	(from https://cooperativapetroecuador.com/portal/)
10:39:59	26702/26702	---M-Z	200	added ('OK')	text/css	date:Tue,%2020%20Jul%202021%2023:43:42%20GMT	https://cooperativapetroecuador.com/portal/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=4.8.1	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.mina288.css	(from https://cooperativapetroecuador.com/portal/)
10:39:59	63597/63597	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Nov%202021%2012:53:48%20GMT	https://cooperativapetroecuador.com/portal/wp-content/uploads/elementor/css/post-355.css?ver=1636116828	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/wp-content/uploads/elementor/css/post-355191a.css	(from https://cooperativapetroecuador.com/portal/)
10:39:59	57912/57912	---M-Z	200	added ('OK')	text/css	date:Tue,%2020%20Jul%202021%2023:43:42%20GMT	https://cooperativapetroecuador.com/portal/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://cooperativapetroecuador.com/portal/)
10:39:59	669/669	---M-Z	200	added ('OK')	text/css	date:Tue,%2020%20Jul%202021%2023:43:42%20GMT	https://cooperativapetroecuador.com/portal/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://cooperativapetroecuador.com/portal/)
10:40:00	675/675	---M-Z	200	added ('OK')	text/css	date:Tue,%2020%20Jul%202021%2023:43:42%20GMT	https://cooperativapetroecuador.com/portal/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min52d5.css	(from https://cooperativapetroecuador.com/portal/)
10:40:00	43009/43009	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2025%20Jul%202021%2001:45:49%20GMT	https://cooperativapetroecuador.com/portal/wp-content/plugins/ParticleJs-WP-Plugin-master//includes/particles.js?ver=5.9	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/wp-content/plugins/ParticleJs-WP-Plugin-master/includes/particles271b.js	(from https://cooperativapetroecuador.com/portal/)
10:40:00	89521/89521	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2020%20Jul%202021%2023:43:53%20GMT	https://cooperativapetroecuador.com/portal/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/wp-includes/js/jquery/jquery.minaf6c.js	(from https://cooperativapetroecuador.com/portal/)
10:40:00	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Nov%202020%2014:36:06%20GMT	https://cooperativapetroecuador.com/portal/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://cooperativapetroecuador.com/portal/)
10:40:01	15055/15055	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2020%20Jul%202021%2023:43:42%20GMT	https://cooperativapetroecuador.com/portal/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=4.8.1	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.mina288.js	(from https://cooperativapetroecuador.com/portal/)
10:40:02	75468/75468	---MCZ	200	added ('OK')	application/json	date:Sat,%2012%20Feb%202022%2015:40:10%20GMT	https://cooperativapetroecuador.com/portal/wp-json/wp/v2/pages/355	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/wp-json/wp/v2/pages/355.json	(from https://cooperativapetroecuador.com/portal/)
10:40:02	314358/314358	---MCZ	200	added ('OK')	application/json	date:Sat,%2012%20Feb%202022%2015:40:10%20GMT	https://cooperativapetroecuador.com/portal/wp-json/	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/wp-json/index.html	(from https://cooperativapetroecuador.com/portal/)
10:40:03	918/918	---M-Z	200	added ('OK')	text/xml	date:Sat,%2012%20Feb%202022%2015:40:11%20GMT	https://cooperativapetroecuador.com/portal/xmlrpc.php?rsd	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/xmlrpc0db0.php	(from https://cooperativapetroecuador.com/portal/)
10:40:03	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Thu,%2012%20Dec%202013%2001:19:12%20GMT	https://cooperativapetroecuador.com/portal/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/wp-includes/wlwmanifest.xml	(from https://cooperativapetroecuador.com/portal/)
10:40:04	2372/2372	---M-Z	200	added ('OK')	application/json	date:Sat,%2012%20Feb%202022%2015:40:12%20GMT	https://cooperativapetroecuador.com/portal/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcooperativapetroecuador.com%2Fportal%2F	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/wp-json/oembed/1.0/embed2952.json	(from https://cooperativapetroecuador.com/portal/)
10:40:04	2442/2442	---M-Z	200	added ('OK')	text/xml	date:Sat,%2012%20Feb%202022%2015:40:13%20GMT	https://cooperativapetroecuador.com/portal/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcooperativapetroecuador.com%2Fportal%2F&format=xml	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/wp-json/oembed/1.0/embed108b	(from https://cooperativapetroecuador.com/portal/)
10:40:05	10959/10959	---M--	200	added ('OK')	image/png	date:Tue,%2013%20Jul%202021%2023:23:10%20GMT	https://cooperativapetroecuador.com/portal/wp-content/uploads/2020/02/Untitled-1_icono-01-150x150.png	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/wp-content/uploads/2020/02/Untitled-1_icono-01-150x150.png	(from https://cooperativapetroecuador.com/portal/)
10:40:05	24022/24022	---M--	200	added ('OK')	image/png	date:Tue,%2013%20Jul%202021%2023:23:10%20GMT	https://cooperativapetroecuador.com/portal/wp-content/uploads/2020/02/Untitled-1_icono-01-300x300.png	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/wp-content/uploads/2020/02/Untitled-1_icono-01-300x300.png	(from https://cooperativapetroecuador.com/portal/)
10:40:06	43772/43772	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Sep%202021%2016:08:33%20GMT	https://cooperativapetroecuador.com/portal/wp-content/uploads/2021/09/1976.png	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/wp-content/uploads/2021/09/1976.png	(from https://cooperativapetroecuador.com/portal/)
10:40:06	156620/156620	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Feb%202022%2015:40:14%20GMT	https://cooperativapetroecuador.com/portal/sobre-nosotros/	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/sobre-nosotros/index.html	(from https://cooperativapetroecuador.com/portal/)
10:40:07	148287/148287	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Feb%202022%2015:40:15%20GMT	https://cooperativapetroecuador.com/portal/manuales-y-reglamentos/	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/manuales-y-reglamentos/index.html	(from https://cooperativapetroecuador.com/portal/)
10:40:07	156657/156657	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Feb%202022%2015:40:15%20GMT	https://cooperativapetroecuador.com/portal/nuestro-personal/	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/nuestro-personal/index.html	(from https://cooperativapetroecuador.com/portal/)
10:40:09	150472/150472	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Feb%202022%2015:40:16%20GMT	https://cooperativapetroecuador.com/portal/reguladores/	C:/My%20Web%20Sites/Coop/cooperativapetroecuador.com/portal/reguladores/index.html	(from https://cooperativapetroecuador.com/portal/)
